Image Name,Predicted Label
A0000.png,non-bleeding
A0001.png,bleeding
A0002.png,non-bleeding
A0003.png,bleeding
A0004.png,non-bleeding
A0005.png,non-bleeding
A0006.png,bleeding
A0007.png,non-bleeding
A0008.png,non-bleeding
A0009.png,non-bleeding
A0010.png,bleeding
A0011.png,non-bleeding
A0012.png,non-bleeding
A0013.png,non-bleeding
A0014.png,non-bleeding
A0016.png,non-bleeding
A0017.png,non-bleeding
A0018.png,non-bleeding
A0019.png,non-bleeding
A0020.png,bleeding
A0021.png,bleeding
A0022.png,non-bleeding
A0023.png,non-bleeding
A0024.png,non-bleeding
A0025.png,bleeding
A0026.png,bleeding
A0027.png,bleeding
A0028.png,bleeding
A0029.png,non-bleeding
A0030.png,non-bleeding
A0031.png,bleeding
A0032.png,non-bleeding
A0033.png,bleeding
A0034.png,bleeding
A0035.png,non-bleeding
A0036.png,non-bleeding
A0037.png,bleeding
A0038.png,bleeding
A0039.png,bleeding
A0040.png,bleeding
A0041.png,non-bleeding
A0042.png,non-bleeding
A0043.png,bleeding
A0044.png,non-bleeding
A0045.png,bleeding
A0046.png,non-bleeding
A0047.png,non-bleeding
A0048.png,non-bleeding
A0049.png,non-bleeding
